Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,11,0,0.0,0.0,0.0,510.57166,210.4975,104.023605,1571.039,1392.3861,694.5899,1.6471345E-4,7.371401E-5
2,0,24,0,0.0,0.0,0.0,473.5071,243.56264,121.59885,1427.6113,1388.431,691.93524,2.0304587E-4,9.0080415E-5
3,0,45,0,0.0,0.0,0.0,349.1333,187.64493,93.77845,1422.4747,1392.4766,694.7638,2.0661282E-4,1.1767338E-4
4,0,34,0,0.0,0.0,0.0,458.61993,166.5704,83.22048,1271.152,1388.4962,691.7568,3.0039586E-4,1.0861272E-4
5,0,53,0,0.0,0.0,0.0,371.05893,102.18351,51.016773,1334.6134,1383.3774,688.216,3.5596808E-4,1.2985502E-4
6,0,17,0,0.0,0.0,0.0,491.95578,178.44879,89.107124,1549.4456,1393.7776,695.2861,2.0475833E-4,8.066361E-5
7,0,41,0,0.0,0.0,0.0,284.85422,80.68324,40.20709,1388.0903,1379.7015,685.579,2.9520708E-4,1.2356318E-4
8,0,16,0,0.0,0.0,0.0,571.2801,302.84457,150.78554,1610.8615,1367.569,676.9305,2.4841022E-4,7.7347126E-5
9,0,12,0,0.0,0.0,0.0,557.40845,283.5723,141.75726,1590.4902,1377.7181,684.16547,2.219336E-4,7.5635304E-5
10,0,18,0,0.0,0.0,0.0,524.386,263.3637,131.56573,1438.3619,1366.7393,676.00354,2.1471377E-4,8.613389E-5
11,0,18,0,0.0,0.0,0.0,582.8611,398.1128,198.95049,1535.0769,1380.1775,685.72015,2.3456423E-4,8.376343E-5
12,0,28,0,0.0,0.0,0.0,387.51608,200.4637,99.85696,1557.1603,1370.433,679.17896,1.840384E-4,9.416748E-5
13,0,22,0,0.0,0.0,0.0,558.15485,272.88745,136.33063,1344.9479,1363.9484,674.5127,3.019898E-4,9.2172406E-5
14,0,66,0,0.0,0.0,0.0,266.54648,79.655365,39.756084,1389.2544,1380.7488,686.15283,2.1660903E-4,1.6296202E-4
15,0,14,0,0.0,0.0,0.0,589.63983,289.43167,144.55023,1385.4895,1375.1161,682.5636,1.9597563E-4,8.5032225E-5
16,0,36,0,0.0,0.0,0.0,412.44852,135.05588,67.25217,1255.5505,1356.1871,668.32935,2.5313505E-4,1.12855574E-4
17,1,23,1,0.9775038,995.0,497.5,558.67725,301.72504,150.69958,1260.4247,1374.3112,681.6559,0.006523262,1.6311108E-4
18,0,8,0,0.0,0.0,0.0,532.1077,260.7428,130.2822,1706.8842,1359.259,670.74225,2.4388432E-4,7.039588E-5
19,0,26,0,0.0,0.0,0.0,533.10364,313.89185,156.79816,1521.2146,1357.0013,669.53503,4.0636514E-4,9.164234E-5
20,0,41,0,0.0,0.0,0.0,381.36795,74.72487,37.054028,1295.2137,1353.2333,666.77466,2.8818456E-4,1.17793315E-4
21,0,30,0,0.0,0.0,0.0,484.4323,167.62169,83.726494,1420.484,1373.8354,682.3047,2.7141065E-4,9.57706E-5
22,0,33,0,0.0,0.0,0.0,393.52353,118.842575,59.38736,1460.4913,1385.07,689.10693,2.64756E-4,1.0233269E-4
23,0,40,0,0.0,0.0,0.0,544.40607,257.37958,128.6166,1296.4226,1363.5829,674.83405,2.0092796E-4,1.02630154E-4
24,0,68,0,0.0,0.0,0.0,370.96182,94.55826,47.221024,1247.6674,1375.9694,683.5187,2.4620982E-4,1.440448E-4
25,0,15,0,0.0,0.0,0.0,443.34958,120.794075,60.256596,1465.8901,1361.9548,672.86127,1.7666782E-4,8.383938E-5
