Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,17,0,0.0,0.0,0.0,402.09195,245.78369,122.671974,1553.3867,1392.5922,694.73474,2.1214908E-4,8.122687E-5
2,0,33,0,0.0,0.0,0.0,449.74234,196.44556,98.14714,1427.6438,1389.4764,692.51166,2.3704534E-4,1.0019535E-4
3,0,7,0,0.0,0.0,0.0,528.7547,202.18132,101.02258,1730.2908,1392.1079,694.5207,1.4256303E-4,6.3403386E-5
4,0,11,0,0.0,0.0,0.0,655.1812,362.40125,181.08742,1668.7942,1389.2571,692.5582,1.6441847E-4,7.012542E-5
5,0,31,0,0.0,0.0,0.0,316.83185,132.68283,66.280716,1551.7177,1394.6223,696.3004,1.9583675E-4,1.01194506E-4
6,0,36,0,0.0,0.0,0.0,448.69965,125.383804,62.52324,1492.8224,1391.2773,693.3828,1.6593623E-4,9.689835E-5
7,0,11,0,0.0,0.0,0.0,622.9729,320.5354,160.25473,1599.3927,1383.106,687.9163,1.7574125E-4,7.658904E-5
8,0,31,0,0.0,0.0,0.0,377.42764,131.34058,65.57796,1312.14,1386.8451,690.55444,2.0732278E-4,1.07522166E-4
9,0,35,0,0.0,0.0,0.0,501.27533,171.47815,85.62212,1397.8503,1375.0083,681.7759,3.399052E-4,9.980319E-5
10,0,23,0,0.0,0.0,0.0,639.2203,334.11203,166.97362,1379.392,1387.9861,691.0476,2.2062928E-4,9.039235E-5
11,0,27,0,0.0,0.0,0.0,365.13635,203.62062,101.636826,1381.3177,1391.0177,693.5136,2.0093622E-4,1.00694095E-4
12,0,38,0,0.0,0.0,0.0,389.7607,161.41933,80.62193,1320.8445,1394.9281,696.33813,4.4283888E-4,1.1444105E-4
13,0,17,0,0.0,0.0,0.0,607.65814,376.21567,187.8306,1378.4567,1378.4985,684.94635,3.4053353E-4,8.8737674E-5
14,0,38,0,0.0,0.0,0.0,419.6348,215.21642,107.55297,1196.8596,1383.9653,688.6822,2.4187322E-4,1.15123315E-4
15,0,12,0,0.0,0.0,0.0,542.1701,307.0339,153.43803,1399.9242,1384.388,688.61804,2.925284E-4,8.320632E-5
16,1,42,1,0.98147583,766.0,383.0,478.45917,169.05142,84.43614,1120.6284,1345.7827,661.9282,0.006435101,1.8625235E-4
17,0,7,0,0.0,0.0,0.0,543.1521,396.62036,198.18752,1520.4902,1380.2642,686.0863,2.5305586E-4,8.084827E-5
18,0,34,0,0.0,0.0,0.0,411.611,252.15765,126.027016,1284.8448,1377.3201,684.5127,2.114636E-4,1.0943812E-4
19,0,47,0,0.0,0.0,0.0,478.93384,159.98961,79.90349,1079.8094,1348.9554,662.73224,3.535829E-4,1.2388943E-4
20,0,11,0,0.0,0.0,0.0,427.9416,259.26224,129.52199,1276.0168,1358.6082,670.5901,6.0222804E-4,1.0210282E-4
21,4,5,1,0.85552335,1156.036,577.88446,608.0707,500.88556,250.40523,1015.02026,1334.7358,653.87695,0.0066602402,3.9532714E-4
