Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,22,0,0.0,0.0,0.0,511.35107,211.78102,105.887115,1585.4203,1398.8113,699.10944,1.7400977E-4,8.17049E-5
2,0,23,0,0.0,0.0,0.0,335.2153,165.94725,82.94517,1566.0479,1385.7804,689.8882,1.9944999E-4,9.003723E-5
3,0,7,0,0.0,0.0,0.0,594.2617,329.30487,164.44066,1563.2223,1385.5637,689.81287,3.4015125E-4,7.5882395E-5
4,0,26,0,0.0,0.0,0.0,357.87732,214.18384,106.94059,1436.6984,1395.593,696.85895,4.2693256E-4,9.889689E-5
5,0,18,0,0.0,0.0,0.0,475.99533,183.62053,91.64058,1545.9904,1392.7029,694.95435,1.5795494E-4,8.013589E-5
6,0,11,0,0.0,0.0,0.0,609.74097,352.36093,176.1658,1674.6027,1395.6443,696.8736,2.2796115E-4,7.042295E-5
7,0,26,0,0.0,0.0,0.0,539.91785,282.79913,141.33365,1370.0767,1393.6699,695.33203,1.9489026E-4,9.254301E-5
8,0,10,0,0.0,0.0,0.0,511.37036,287.16345,143.49387,1469.4153,1393.9882,695.4833,1.630418E-4,7.677187E-5
9,0,21,0,0.0,0.0,0.0,349.36127,199.41441,99.66653,1467.6321,1378.1832,684.40466,2.0568188E-4,9.325429E-5
10,0,44,0,0.0,0.0,0.0,343.81897,84.34771,42.081223,1404.4276,1356.4763,669.9824,2.6102754E-4,1.2280053E-4
11,0,6,0,0.0,0.0,0.0,492.63785,218.59492,109.23856,1587.5919,1389.6376,692.4245,2.9571145E-4,7.016835E-5
12,0,32,0,0.0,0.0,0.0,344.87402,179.73126,89.818695,1335.5641,1387.0103,690.7435,2.7571883E-4,1.1025812E-4
13,0,7,0,0.0,0.0,0.0,443.91504,203.00839,101.46174,1605.642,1393.1412,694.82153,1.5830215E-4,6.712207E-5
14,0,8,0,0.0,0.0,0.0,440.7969,284.46814,142.10796,1442.0719,1385.6284,689.7321,1.8932835E-4,7.867921E-5
