Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,28,0,0.0,0.0,0.0,422.57617,83.00275,41.323093,1440.5405,1380.3083,686.3562,2.0505177E-4,9.565597E-5
2,0,15,0,0.0,0.0,0.0,544.9259,243.48354,121.62401,1564.3424,1384.0646,688.82324,2.4054896E-4,7.85085E-5
3,0,12,0,0.0,0.0,0.0,580.7839,288.8337,144.12346,1460.0938,1386.6611,690.52856,2.251801E-4,7.877265E-5
4,0,7,0,0.0,0.0,0.0,455.44293,281.0423,140.48051,1643.2402,1391.9601,694.301,1.7943245E-4,6.725315E-5
5,0,14,0,0.0,0.0,0.0,455.79208,193.70947,96.73615,1543.1249,1396.2544,697.2939,2.0717434E-4,7.8154364E-5
6,0,17,0,0.0,0.0,0.0,492.21848,262.13934,130.98956,1601.122,1388.8711,692.0982,1.8779935E-4,7.9187535E-5
7,0,23,0,0.0,0.0,0.0,516.85205,213.79042,106.85785,1545.992,1393.0112,694.88,2.0607072E-4,8.379441E-5
8,0,28,0,0.0,0.0,0.0,365.80667,118.189995,58.966686,1405.5328,1398.0706,698.42816,2.332447E-4,9.8401935E-5
9,0,23,0,0.0,0.0,0.0,372.98087,192.35301,96.0995,1519.3506,1380.1709,685.95245,1.7584869E-4,8.90676E-5
10,0,20,0,0.0,0.0,0.0,563.61945,278.2994,138.91994,1481.319,1395.6482,696.7754,2.2351388E-4,8.401116E-5
11,0,16,0,0.0,0.0,0.0,546.869,285.88113,141.72772,1632.0054,1388.3254,691.8778,2.1679937E-4,7.528458E-5
12,0,30,0,0.0,0.0,0.0,488.2142,263.5641,131.65117,1527.8441,1388.973,692.11566,2.4038047E-4,9.310488E-5
13,0,21,0,0.0,0.0,0.0,435.5904,254.68643,127.06336,1474.1431,1376.4235,682.87427,1.9264383E-4,8.867867E-5
14,0,40,0,0.0,0.0,0.0,424.57437,128.5849,64.182434,1369.1309,1372.8774,680.7516,1.7278129E-4,1.0839879E-4
15,0,16,0,0.0,0.0,0.0,577.33563,279.40668,139.25574,1679.5461,1381.2803,687.36316,2.0802654E-4,7.402774E-5
16,0,12,0,0.0,0.0,0.0,589.587,387.23166,193.58138,1677.1948,1399.586,699.6736,2.248415E-4,7.3926574E-5
17,0,31,0,0.0,0.0,0.0,392.5426,268.7716,134.19817,1510.2252,1391.0228,693.7218,2.7812176E-4,9.8330675E-5
18,0,21,0,0.0,0.0,0.0,475.98447,219.05612,109.48886,1441.5314,1392.761,694.9394,1.8408625E-4,8.815423E-5
19,0,16,0,0.0,0.0,0.0,574.2467,277.86142,138.73767,1494.6072,1385.4307,689.58215,3.1966294E-4,8.538222E-5
20,0,26,0,0.0,0.0,0.0,496.47443,240.85304,120.32087,1310.4381,1376.4121,683.9188,3.2489764E-4,1.03845894E-4
21,0,21,0,0.0,0.0,0.0,507.5554,221.93152,110.5299,1420.4138,1365.675,675.73505,5.3852674E-4,9.3450726E-5
22,0,26,0,0.0,0.0,0.0,536.5868,248.93695,124.416916,1380.7279,1369.1296,677.8957,2.6638884E-4,9.3157796E-5
23,0,36,0,0.0,0.0,0.0,372.44318,177.25128,88.50714,1323.0024,1365.5244,675.2787,2.3215469E-4,1.113212E-4
24,0,16,0,0.0,0.0,0.0,517.1419,198.50188,98.51144,1525.7673,1360.6581,672.5952,2.8979042E-4,8.7761626E-5
25,1,34,1,0.9342222,912.37,455.95068,561.28424,320.39383,160.02701,1342.6685,1363.2367,674.1596,0.0065883216,1.7502237E-4
26,0,23,0,0.0,0.0,0.0,478.52365,230.51038,115.10232,1389.303,1375.3098,682.3144,2.6997048E-4,8.939307E-5
27,0,34,0,0.0,0.0,0.0,378.3054,197.31996,98.53652,1335.1716,1354.2263,667.2599,3.8902715E-4,1.1435466E-4
28,0,43,0,0.0,0.0,0.0,347.15097,147.69455,73.69284,1159.651,1374.9974,682.3685,3.651373E-4,1.3359492E-4
29,0,22,0,0.0,0.0,0.0,539.7687,262.1946,130.82436,1440.2018,1352.9934,666.52386,2.2935733E-4,9.040711E-5
30,0,35,0,0.0,0.0,0.0,476.18677,189.6333,94.5979,1156.6389,1329.8551,650.3211,3.3598646E-4,1.2137709E-4
31,1,26,0,0.92852974,1077.0,538.5,604.98395,404.30353,202.042,1257.4559,1322.2434,645.49164,0.0064259586,1.7443384E-4
32,1,45,0,0.6966057,757.53955,378.59464,473.40277,170.32216,85.08407,985.3303,1317.7615,642.08154,0.00658738,1.9805033E-4
33,2,39,2,0.49578524,784.8373,391.06738,468.25516,145.0794,72.43726,930.11206,1317.524,643.0436,0.0068569947,2.6410987E-4
34,0,16,0,0.0,0.0,0.0,464.5077,241.46951,120.59689,993.03516,1251.5315,592.58264,5.64345E-4,1.2928451E-4
35,1,17,1,0.6733675,752.0,376.0,414.3838,198.92824,99.357475,619.0376,1245.5686,591.54266,0.0067165433,2.2973336E-4
36,1,33,0,0.35041904,690.8588,345.3688,403.77264,183.0823,91.402084,546.3546,1243.6663,589.93286,0.006900381,2.6974967E-4
37,2,15,1,0.9192095,783.7977,391.83862,371.68134,162.6838,79.93277,684.62646,1113.4004,498.76065,0.0067634466,2.9357112E-4
38,1,39,0,0.8069229,903.9099,451.914,555.90704,249.32257,124.57148,529.9452,1279.6929,615.43475,0.0064692697,2.2533002E-4
39,2,19,1,1.1362257,764.9302,382.3206,451.33173,181.48526,90.57768,597.1642,1257.4175,600.4143,0.0064160908,3.0450485E-4
40,5,37,1,1.0586163,962.8822,481.4169,427.9641,327.2343,163.57901,480.8944,1301.932,629.1301,0.0062753237,4.9475965E-4
41,0,25,0,0.0,0.0,0.0,283.6973,134.56139,67.08852,408.92517,1138.3555,514.1132,6.021979E-4,2.643846E-4
42,0,72,0,0.0,0.0,0.0,481.97852,436.06476,218.01141,614.852,1295.0988,624.7834,4.7898467E-4,1.549868E-4
43,7,1,2,0.813438,973.9757,486.93027,568.9697,186.79004,93.31209,395.57022,1226.7172,577.37463,0.006759957,7.0478546E-4
44,2,52,0,0.8885727,1149.7457,574.81036,648.24084,295.19812,147.55786,390.20337,1324.8217,645.9781,0.0066466113,3.211782E-4
45,4,10,0,1.0716069,723.3791,361.59705,338.5583,286.63702,143.26036,280.73965,1254.638,595.75165,0.006396802,5.606329E-4
46,8,10,3,0.8941289,1029.3107,514.6048,578.6752,269.40765,134.59245,268.64944,1309.7412,636.0691,0.006739307,8.251158E-4
47,5,0,1,0.5943159,764.2052,382.02042,0.0,0.0,0.0,195.91034,1149.8892,525.9095,0.0068916976,6.906694E-4
48,0,6,0,0.0,0.0,0.0,332.2347,134.12463,63.275105,341.17783,996.8913,416.62384,2.6928115E-4,2.3026657E-4
49,0,1,0,0.0,0.0,0.0,193.42906,1030.4078,514.97546,560.6203,1216.6737,569.1827,7.696725E-4,2.2479094E-4
50,1,14,0,0.80241585,799.0,399.5,296.108,461.97635,230.62129,253.57686,1231.8818,578.855,0.006490743,4.1543532E-4
51,9,49,0,0.94722843,808.99304,403.72522,366.3655,179.99933,89.79158,239.21213,1141.4264,517.3499,0.006667315,8.1425457E-4
52,3,0,0,0.7682082,998.33984,499.08664,0.0,0.0,0.0,234.8375,1227.4497,577.4135,0.006790624,5.3202646E-4
53,40,12,16,0.9016654,718.33356,359.06305,236.01958,422.1774,210.93666,235.60188,1082.6223,478.3688,0.006847586,0.0027678811
54,76,4,22,0.77734625,744.59576,372.2438,343.17734,319.16602,159.49313,218.77885,1210.584,564.4684,0.0068298774,0.0051157717
55,4,7,0,0.98106384,1032.9724,516.47394,649.34247,280.78314,140.37373,189.18416,1296.3779,626.7351,0.0065720384,5.8622035E-4
56,31,4,3,1.1715807,983.93756,491.88153,600.3137,247.58083,123.66902,150.00935,1231.7476,581.2882,0.0065487344,0.0022512218
57,0,5,0,0.0,0.0,0.0,608.9346,271.49673,135.72339,325.5515,1317.1403,641.42444,5.4378685E-4,2.2652771E-4
58,6,1,0,0.9694252,979.33325,485.5681,510.70093,283.8857,141.89224,92.177734,1359.7642,668.01587,0.006712687,9.7217865E-4
59,63,5,20,0.92692953,763.98236,381.96573,443.445,148.3055,73.93296,371.41708,1223.4552,575.50024,0.0068016,0.0041545313
60,2,4,0,1.194809,1017.8032,508.84192,410.17682,420.89047,210.41446,222.1197,1343.0154,657.90735,0.006491826,4.2689568E-4
61,5,0,1,0.91804945,753.92285,376.87524,0.0,0.0,0.0,173.58441,1244.978,591.66614,0.006641427,7.0249574E-4
62,10,17,3,0.7758206,933.0832,465.1937,221.99203,735.5144,367.6019,261.10666,1337.146,653.5168,0.0068794903,9.2965906E-4
63,22,4,9,0.77763504,801.1858,400.55536,325.57913,334.3857,167.16183,175.43518,1257.7354,598.3027,0.0069045136,0.0017827356
64,5,1,2,1.0587213,882.1326,440.97568,445.39575,1207.5793,603.3826,210.34865,1314.342,637.26685,0.0067640883,6.408354E-4
65,7,0,1,0.99523,992.84894,495.23386,0.0,0.0,0.0,122.74878,1292.8854,623.6379,0.006668763,9.019959E-4
66,7,1,2,0.87516373,1138.0627,568.88934,659.6821,303.57855,151.66736,295.9533,1262.5973,602.7875,0.006757688,7.2577654E-4
67,15,10,5,0.90839225,925.51117,459.71207,262.36618,601.80286,300.71637,224.33784,1249.1451,592.57367,0.0068422807,0.0012807613
68,24,13,5,0.97014016,998.1633,498.4906,395.23,430.69925,215.1854,157.08865,1280.9412,614.134,0.006791897,0.0018500262
69,0,5,0,0.0,0.0,0.0,391.25485,104.90399,48.792255,332.09894,903.8909,353.17615,5.1190204E-4,2.2599778E-4
70,15,2,5,1.009419,794.76917,396.3109,338.38055,107.44205,53.695404,150.349,1262.5442,601.0332,0.006881797,0.0013394427
71,5,3,1,0.8499054,859.3501,429.6015,394.2408,137.48521,68.6788,177.5924,1283.9679,616.8993,0.006711697,7.0008024E-4
72,45,3,14,0.86023074,892.9786,443.68198,314.47885,227.90828,113.87858,206.07463,1142.8046,519.7374,0.006901626,0.0031650027
73,1,4,0,0.88798714,870.0,435.0,224.30464,655.722,327.84824,142.3902,1345.0852,660.2604,0.0065539684,4.9767597E-4
74,5,2,4,0.74859655,967.2,483.6,592.475,285.4831,142.64081,196.3605,1326.7664,646.37463,0.0067883893,7.015919E-4
75,0,5,0,0.0,0.0,0.0,276.24738,338.7737,168.93448,140.54185,1229.1843,577.96655,7.9769845E-4,4.8456457E-4
76,4,2,0,1.0013549,966.09344,482.97913,495.67725,139.2757,69.57601,136.83363,1302.1309,627.66046,0.0067074774,7.263829E-4
77,4,3,1,0.85953546,996.31323,497.37408,204.62654,1107.7814,553.82837,151.52353,1322.9786,643.82764,0.006619362,6.95836E-4
