Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,19,0,0.0,0.0,0.0,532.0936,231.70097,115.78606,1564.4111,1396.0905,697.1288,2.5665737E-4,8.932315E-5
2,1,17,1,1.0200348,1114.0,557.0,536.06934,238.85857,119.28086,1427.0536,1387.2799,691.083,0.0064420816,1.5662746E-4
3,1,63,0,0.9427929,714.68896,357.07602,414.74234,72.61969,36.21887,1247.634,1370.4037,678.98364,0.006595139,2.186695E-4
4,0,32,0,0.0,0.0,0.0,507.80212,220.26753,110.03163,1432.3958,1389.9233,692.83563,2.2535861E-4,1.06741914E-4
5,0,14,0,0.0,0.0,0.0,382.4693,213.68068,106.498344,1467.3524,1391.1172,693.41565,6.166918E-4,9.531134E-5
6,0,15,0,0.0,0.0,0.0,481.06085,289.59488,144.62851,1495.4832,1393.068,694.8719,2.9802974E-4,9.142427E-5
7,0,39,0,0.0,0.0,0.0,371.47726,203.34195,101.60449,1433.8923,1377.141,684.0603,2.4250508E-4,1.2725653E-4
8,0,17,0,0.0,0.0,0.0,486.22617,266.04532,132.96394,1446.8964,1390.2933,692.7064,3.4725832E-4,9.620616E-5
9,0,35,0,0.0,0.0,0.0,534.95514,212.81215,106.350464,1444.4492,1373.6694,681.1948,1.6576197E-4,1.04111845E-4
10,0,46,0,0.0,0.0,0.0,478.75403,162.61447,81.132515,1332.7192,1360.1869,671.82745,2.1635022E-4,1.2355755E-4
11,0,16,0,0.0,0.0,0.0,339.86993,183.8135,91.75562,1557.5627,1372.7231,680.9314,2.6663515E-4,9.321212E-5
12,0,33,0,0.0,0.0,0.0,370.4839,132.04492,65.852936,1416.423,1369.1702,678.1995,2.7301244E-4,1.2262359E-4
13,0,59,0,0.0,0.0,0.0,280.2837,71.44252,35.54624,1413.091,1378.5786,685.64386,2.7938394E-4,1.8231808E-4
14,0,23,0,0.0,0.0,0.0,425.5381,198.27248,98.92359,1497.404,1391.3748,693.6098,2.3262476E-4,9.689421E-5
15,0,38,0,0.0,0.0,0.0,518.4097,216.55205,108.04276,1504.4961,1399.2778,699.3988,2.2724796E-4,1.0729063E-4
16,0,8,0,0.0,0.0,0.0,514.8809,656.2272,326.4438,1530.5602,1377.3662,684.3565,7.132565E-4,9.479814E-5
17,0,53,0,0.0,0.0,0.0,416.0568,94.663734,46.92547,1508.3582,1348.6766,664.3884,2.434524E-4,1.3487322E-4
18,0,25,0,0.0,0.0,0.0,364.09665,117.95913,58.792545,1393.4371,1377.993,683.982,2.4466464E-4,1.10015346E-4
19,0,22,0,0.0,0.0,0.0,590.98535,358.6113,179.20966,1367.2665,1378.6936,685.12756,5.252471E-4,1.10457884E-4
20,0,13,0,0.0,0.0,0.0,558.9146,265.75662,132.7738,1629.2604,1382.302,687.8542,3.5680624E-4,8.587795E-5
21,0,35,0,0.0,0.0,0.0,390.59796,146.60701,72.859924,1361.0952,1374.7373,682.1875,4.527918E-4,1.2531276E-4
22,1,29,0,0.41673565,1062.0,531.0,595.3862,337.06073,168.39388,1500.2496,1363.5704,673.945,0.0068232296,1.7510894E-4
23,0,35,0,0.0,0.0,0.0,384.10825,205.67558,102.64487,1320.2125,1355.6357,668.33716,3.288487E-4,1.3155969E-4
24,0,22,0,0.0,0.0,0.0,573.1736,366.42548,182.93109,1338.512,1374.2766,680.60065,5.38238E-4,1.15599956E-4
25,0,11,0,0.0,0.0,0.0,566.46185,358.1727,178.87297,1243.5077,1336.7343,655.174,4.8024236E-4,1.12714755E-4
26,0,50,0,0.0,0.0,0.0,341.73755,139.43503,69.565575,1173.2532,1340.8804,657.44666,6.999304E-4,1.8473092E-4
27,0,21,0,0.0,0.0,0.0,419.8021,183.21619,91.407715,1348.6075,1352.0017,665.7585,2.6376016E-4,1.09049266E-4
28,0,10,0,0.0,0.0,0.0,443.477,207.07858,103.37083,1161.5065,1310.7152,636.1903,4.3459053E-4,1.1408784E-4
29,1,21,0,0.6537037,1244.7625,622.2738,483.81604,262.27982,131.09769,1036.3225,1283.5867,618.13416,0.006682402,1.9132126E-4
30,0,27,0,0.0,0.0,0.0,445.17426,214.43265,107.037994,1258.4742,1328.872,649.8869,0.0013963975,1.3052244E-4
31,0,39,0,0.0,0.0,0.0,434.16483,205.05905,102.245026,1105.9697,1312.3567,637.6179,0.0015520983,1.764603E-4
32,0,57,0,0.0,0.0,0.0,291.06406,115.5403,57.39531,986.73676,1329.9575,648.1816,5.714075E-4,2.0856883E-4
33,0,21,0,0.0,0.0,0.0,632.5318,404.7685,202.03464,1059.5941,1349.7203,664.04205,9.3195797E-4,1.2503358E-4
34,1,24,0,0.72226906,1089.0,544.5,539.4148,338.86694,169.3511,880.51355,1313.8535,637.70386,0.0066335537,2.3544315E-4
35,0,16,0,0.0,0.0,0.0,488.34323,363.70117,181.18806,771.46906,1335.1067,653.5793,0.0013887844,2.3064375E-4
36,0,14,0,0.0,0.0,0.0,508.8901,336.54654,167.90628,1009.29004,1347.3998,661.431,7.142177E-4,1.3862342E-4
37,1,29,1,0.960577,920.31116,459.81903,490.82236,258.02316,128.81764,736.5292,1282.5438,618.0131,0.0063627767,2.3443677E-4
38,0,42,0,0.0,0.0,0.0,495.46066,183.77324,91.2732,882.819,1240.8723,591.8329,5.241475E-4,1.6784568E-4
39,0,37,0,0.0,0.0,0.0,596.95575,289.24738,144.28058,619.9467,1287.7844,623.5649,0.0014076439,2.0473951E-4
40,0,24,0,0.0,0.0,0.0,354.44748,301.2474,150.35158,475.08255,1323.402,644.2624,0.0010484771,3.1849992E-4
41,1,20,0,0.7423935,1035.0,517.5,505.2483,204.46591,100.59348,421.0488,1288.205,622.1691,0.0066892235,3.8136466E-4
42,0,19,0,0.0,0.0,0.0,471.82272,184.74854,90.46213,480.56616,928.5746,373.51706,8.410588E-4,2.1515222E-4
