Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,38,0,0.0,0.0,0.0,261.78146,72.69059,36.26305,1439.332,1396.9127,697.8802,2.7399222E-4,1.4531676E-4
2,0,19,0,0.0,0.0,0.0,312.5376,122.36401,61.076794,1518.5797,1393.8007,695.8141,2.6165028E-4,1.0103262E-4
3,0,11,0,0.0,0.0,0.0,530.5753,280.99762,140.34267,1731.5233,1393.987,695.7337,2.2773337E-4,7.324139E-5
4,0,32,0,0.0,0.0,0.0,368.33255,181.42154,90.24589,1433.3278,1392.7561,694.70306,4.1812216E-4,1.2096265E-4
5,0,19,0,0.0,0.0,0.0,450.0969,174.50987,87.13303,1287.2015,1379.1984,685.71136,2.270057E-4,1.0542E-4
6,0,34,0,0.0,0.0,0.0,368.23566,197.5547,98.59282,1517.249,1380.5708,686.70905,2.7742967E-4,1.1841857E-4
7,0,52,0,0.0,0.0,0.0,276.14825,77.156204,38.476727,1445.1249,1391.8187,694.2956,2.7250568E-4,1.6705014E-4
8,0,21,0,0.0,0.0,0.0,487.45383,229.08342,114.45775,1414.4585,1388.6505,692.2655,4.0096336E-4,1.07683605E-4
9,0,42,0,0.0,0.0,0.0,441.11105,146.85455,73.24012,1286.25,1359.8883,673.6921,3.3387865E-4,1.3167053E-4
10,0,29,0,0.0,0.0,0.0,588.40875,341.55692,170.6313,1275.2898,1375.638,683.8144,5.092969E-4,1.16723364E-4
11,0,9,0,0.0,0.0,0.0,508.19342,223.39594,111.43405,1625.6938,1374.7881,682.768,2.807806E-4,8.010896E-5
12,0,26,0,0.0,0.0,0.0,613.9581,334.9556,167.13034,1380.7764,1358.618,671.12897,2.6555004E-4,1.0287463E-4
13,0,17,0,0.0,0.0,0.0,578.3989,378.281,189.0541,1689.0399,1380.8732,686.6268,0.002445753,1.076374E-4
14,1,11,1,0.39835167,986.0,493.0,582.79596,343.99026,171.06035,1444.1036,1377.712,683.7235,0.0067827813,1.7048512E-4
15,1,12,0,1.1970291,1095.5516,547.5969,611.2134,460.44662,229.9975,829.7912,1365.3624,675.165,0.0064462507,2.571553E-4
16,0,19,0,0.0,0.0,0.0,424.21198,189.6406,94.503845,1185.9401,1259.4703,597.60974,3.1387823E-4,1.1545144E-4
17,0,43,0,0.0,0.0,0.0,572.5381,293.98096,146.8681,1284.6638,1339.6895,657.6141,5.4530695E-4,1.3070453E-4
