Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,23,0,0.0,0.0,0.0,510.42044,245.89696,122.72395,1594.1791,1385.3518,689.99164,2.7463114E-4,9.046334E-5
2,0,15,0,0.0,0.0,0.0,613.95087,271.95377,135.83502,1488.7885,1397.5857,698.2565,6.28666E-4,9.327715E-5
3,0,7,0,0.0,0.0,0.0,619.30536,294.2056,146.98338,1747.3832,1398.9563,699.2179,0.0015783312,8.5085376E-5
4,0,28,0,0.0,0.0,0.0,346.941,147.18674,73.48592,1424.5355,1380.323,686.07855,2.9250694E-4,1.1580055E-4
5,0,31,0,0.0,0.0,0.0,443.62814,156.43059,77.880554,1448.3502,1391.1226,694.0969,2.3791993E-4,1.075976E-4
6,0,25,0,0.0,0.0,0.0,365.76157,196.49539,98.12047,1497.3594,1386.2368,690.41266,2.5437234E-4,1.0685496E-4
7,0,32,0,0.0,0.0,0.0,417.43466,112.47908,56.14924,1461.8517,1389.6105,692.7755,2.810395E-4,1.1044563E-4
8,0,19,0,0.0,0.0,0.0,535.4662,231.01485,115.38096,1536.6982,1390.3749,692.94495,3.1356447E-4,9.2151866E-5
9,0,28,0,0.0,0.0,0.0,327.28052,127.305176,63.43636,1432.768,1386.8246,690.85846,2.649852E-4,1.17345335E-4
10,0,17,0,0.0,0.0,0.0,471.85547,248.68317,123.71869,1488.0374,1391.1392,693.79614,0.0012942355,1.0442041E-4
11,0,61,0,0.0,0.0,0.0,263.36026,82.909935,41.248238,1492.676,1399.5515,699.6412,2.7443134E-4,1.8773494E-4
12,0,16,0,0.0,0.0,0.0,519.6453,252.62112,126.17596,1401.2892,1398.4323,698.84796,3.638978E-4,9.4007904E-5
13,0,25,0,0.0,0.0,0.0,592.2594,287.55804,143.61824,1268.9802,1385.9357,689.8489,7.7219366E-4,1.1854894E-4
14,0,53,0,0.0,0.0,0.0,428.23422,135.8624,67.805084,1331.057,1397.0962,697.633,2.3584982E-4,1.3734396E-4
15,0,13,0,0.0,0.0,0.0,472.80045,279.05765,139.4901,1554.8868,1392.2076,694.3732,3.3182476E-4,9.080233E-5
16,0,25,0,0.0,0.0,0.0,529.78503,321.25214,160.10535,1410.2433,1380.1946,685.90686,2.569848E-4,1.03951155E-4
17,0,9,0,0.0,0.0,0.0,461.50406,314.53207,156.86679,1582.1498,1383.793,688.7186,3.7888283E-4,8.242774E-5
