Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,17,0,0.0,0.0,0.0,552.4207,286.17603,143.04826,1747.2253,1399.4827,699.6224,2.1397807E-4,7.716296E-5
2,0,31,0,0.0,0.0,0.0,473.6392,147.36261,73.6202,1393.1581,1390.5563,693.4248,2.4381968E-4,1.0970279E-4
3,0,13,0,0.0,0.0,0.0,521.2683,204.52005,102.218636,1585.8328,1397.1014,697.9667,2.854286E-4,8.261673E-5
4,0,25,0,0.0,0.0,0.0,438.7631,140.43503,70.13483,1558.417,1391.5894,694.2303,2.3531001E-4,9.8961944E-5
5,0,47,0,0.0,0.0,0.0,408.23322,158.91138,79.3629,1405.7797,1364.9934,674.8546,2.4035889E-4,1.378595E-4
6,0,35,0,0.0,0.0,0.0,642.8842,334.0523,166.98569,1485.8785,1391.9514,694.4123,3.3596804E-4,1.04048595E-4
7,0,15,0,0.0,0.0,0.0,475.33112,216.9604,108.20193,1643.5396,1398.8604,699.06793,6.496442E-4,8.708815E-5
8,0,39,0,0.0,0.0,0.0,367.10468,169.63884,84.76617,1557.0283,1387.8894,691.7264,2.9239812E-4,1.2640613E-4
9,0,27,0,0.0,0.0,0.0,512.41266,229.11526,114.21747,1275.1318,1386.6067,690.5392,3.09165E-4,1.105891E-4
10,0,22,0,0.0,0.0,0.0,422.44815,123.51697,61.67494,1647.6433,1383.8662,689.2661,2.3076516E-4,9.2545895E-5
11,0,28,0,0.0,0.0,0.0,511.5881,269.88202,134.81209,1472.7286,1389.9327,693.0458,5.4171344E-4,1.1089967E-4
12,0,43,0,0.0,0.0,0.0,358.9735,204.47858,102.10912,1372.8944,1371.4055,680.2658,2.4074946E-4,1.4041575E-4
13,0,7,0,0.0,0.0,0.0,456.47495,299.7891,149.41295,1551.7499,1389.0553,692.3653,2.8339704E-4,7.73328E-5
14,0,8,0,0.0,0.0,0.0,461.6318,173.2185,86.47319,1430.7816,1387.7632,691.4992,2.3573502E-4,8.5811866E-5
15,0,19,0,0.0,0.0,0.0,435.60913,271.3268,135.60445,1373.4823,1388.0264,691.3178,7.9316576E-4,1.0880451E-4
16,0,50,0,0.0,0.0,0.0,305.8847,111.52703,55.6861,1347.213,1358.2095,670.18726,2.9938726E-4,1.6511539E-4
17,1,20,0,1.0451946,803.9681,400.88766,432.51825,141.83469,70.78463,1624.1355,1398.4707,698.7999,0.006563031,1.5377611E-4
18,0,7,0,0.0,0.0,0.0,546.09106,378.00714,188.95302,1529.8999,1391.6721,694.0386,2.947503E-4,8.302331E-5
19,2,13,0,0.58359194,901.5,450.75,420.89603,320.23492,159.79172,1338.7643,1387.1904,691.2507,0.006771278,2.3783404E-4
20,0,21,0,0.0,0.0,0.0,458.37427,127.77692,63.050026,1271.8815,1358.0283,670.9199,2.8217214E-4,1.07771084E-4
21,0,40,0,0.0,0.0,0.0,520.276,194.1963,96.88351,1359.1453,1392.7981,694.1485,1.890151E-4,1.1574813E-4
22,0,9,0,0.0,0.0,0.0,409.33084,158.61456,79.14743,1607.2715,1389.5822,692.57544,2.6874512E-4,7.931322E-5
23,0,9,0,0.0,0.0,0.0,426.0318,296.1173,147.82323,1421.4156,1377.1355,684.03033,3.04393E-4,9.370705E-5
24,0,23,0,0.0,0.0,0.0,477.6094,220.58623,110.145134,1346.1415,1367.1898,677.1548,2.5654188E-4,1.0963639E-4
25,0,7,0,0.0,0.0,0.0,545.0535,277.95547,138.86351,1685.9255,1377.1823,683.69336,0.0012168207,8.7958855E-5
26,0,14,0,0.0,0.0,0.0,465.8023,189.52396,94.597595,1343.8425,1374.8187,682.3712,3.699978E-4,1.0158415E-4
27,0,22,0,0.0,0.0,0.0,295.6808,139.09663,69.245575,1314.9723,1358.9562,671.1259,3.1804582E-4,1.2832852E-4
28,0,31,0,0.0,0.0,0.0,495.51166,231.38422,115.258705,1532.5688,1362.2417,674.5809,3.6330236E-4,1.0963007E-4
29,0,46,0,0.0,0.0,0.0,310.82382,131.91228,65.751656,1284.2462,1363.7355,674.53735,3.1234976E-4,1.6184013E-4
30,0,10,0,0.0,0.0,0.0,600.01544,394.5122,197.19533,1446.0068,1379.0089,685.01587,3.4758286E-4,9.0220856E-5
31,0,32,0,0.0,0.0,0.0,523.434,273.39157,136.33734,1226.2467,1378.7634,685.02606,3.1306822E-4,1.21097044E-4
32,0,22,0,0.0,0.0,0.0,398.94446,99.455864,49.56909,1348.5204,1348.132,663.2396,2.590709E-4,1.1026865E-4
33,0,22,0,0.0,0.0,0.0,485.61777,216.79523,108.366,1336.0498,1381.6744,687.1589,2.6288143E-4,1.0705765E-4
34,0,41,0,0.0,0.0,0.0,480.39566,235.97011,117.81824,1108.3081,1330.2153,651.9534,2.885683E-4,1.3781272E-4
35,0,19,0,0.0,0.0,0.0,510.49277,272.51947,136.18742,1199.5652,1373.7607,681.61566,3.672672E-4,1.1344989E-4
36,0,45,0,0.0,0.0,0.0,478.38773,142.3914,71.129326,1153.1692,1355.5267,668.894,2.8394267E-4,1.323287E-4
37,0,19,0,0.0,0.0,0.0,587.52264,420.97177,210.40808,1225.5494,1381.1365,686.6611,0.0020862941,1.3778608E-4
38,1,37,0,0.32531643,987.50305,493.62653,441.1988,263.7577,131.751,1150.2052,1343.817,661.10565,0.0068838173,2.0091089E-4
39,0,46,0,0.0,0.0,0.0,465.431,195.11807,97.5001,1073.9492,1344.8748,661.8042,0.0011299873,1.462524E-4
40,0,13,0,0.0,0.0,0.0,626.6658,316.67206,157.77287,1570.7675,1373.9723,681.5755,2.2466962E-4,8.205462E-5
41,0,42,0,0.0,0.0,0.0,299.4591,158.83582,79.29835,1322.6493,1349.1366,664.6717,3.6188384E-4,1.5341569E-4
42,0,24,0,0.0,0.0,0.0,421.93564,196.48427,98.073616,1333.3223,1377.0245,683.304,8.554228E-4,1.2334634E-4
43,0,40,0,0.0,0.0,0.0,447.8478,169.14651,84.40426,1307.6237,1358.1829,670.9437,4.6937456E-4,1.3404567E-4
44,0,54,0,0.0,0.0,0.0,448.83353,131.55089,65.54987,1312.744,1357.8586,670.6791,2.3197044E-4,1.3665478E-4
45,0,21,0,0.0,0.0,0.0,543.8406,350.86755,175.3017,1114.911,1372.2095,680.13043,7.5921474E-4,1.325238E-4
46,0,22,0,0.0,0.0,0.0,584.7997,440.94724,220.44731,948.25714,1374.906,682.20996,4.380666E-4,1.5328219E-4
47,0,9,0,0.0,0.0,0.0,538.37134,318.01123,158.65817,1524.6279,1358.8422,670.4283,9.355941E-4,1.0542661E-4
48,1,31,0,0.95103645,1022.843,511.35535,560.36066,257.32083,128.59723,977.3242,1377.3737,684.16223,0.0064535746,2.0151254E-4
49,0,41,0,0.0,0.0,0.0,392.05145,225.68686,112.73132,1162.8357,1381.2002,686.4364,0.0012604712,1.6406013E-4
50,1,13,0,1.1065178,959.589,479.61115,512.3594,365.13373,182.32794,1430.9417,1369.1351,678.0327,0.0064037424,1.7278158E-4
51,0,57,0,0.0,0.0,0.0,350.8801,204.11876,101.91421,1187.2611,1333.595,652.7297,2.6832087E-4,1.6722595E-4
52,0,29,0,0.0,0.0,0.0,352.26096,182.261,90.98894,1228.8746,1366.9641,676.91345,3.029846E-4,1.3211995E-4
53,0,12,0,0.0,0.0,0.0,513.89453,411.48886,205.34296,1338.9489,1356.6868,669.5014,8.8725006E-4,1.1936135E-4
54,0,33,0,0.0,0.0,0.0,347.3941,222.77582,111.260216,1178.154,1330.3998,652.7094,4.2489526E-4,1.4827619E-4
55,0,43,0,0.0,0.0,0.0,324.48398,155.74864,77.6803,998.9563,1292.3673,626.6893,0.0019529788,2.0758634E-4
56,1,14,1,0.9162569,688.357,344.01172,360.40057,162.70583,80.873604,1017.7613,1331.1477,652.7707,0.0064793904,2.1405559E-4
57,0,48,0,0.0,0.0,0.0,295.39145,172.26381,85.19181,877.9677,1242.3855,593.6501,4.0103262E-4,2.031754E-4
58,2,15,0,0.45978355,891.6686,445.72925,393.27338,345.56808,171.93076,1056.4393,1339.8522,658.1298,0.0068063475,2.8176425E-4
59,0,49,0,0.0,0.0,0.0,455.98096,156.96748,78.01304,767.45734,1237.5575,588.2891,3.7462206E-4,1.6758117E-4
60,4,9,0,1.0831058,1069.9763,534.8927,492.86285,514.05273,256.59256,1026.4437,1361.8804,673.6372,0.006547748,4.2622897E-4
61,0,48,0,0.0,0.0,0.0,591.3223,289.4304,144.66617,981.1471,1365.3856,675.0281,4.547034E-4,1.2937037E-4
62,4,21,2,0.78555274,933.57745,466.65735,353.0549,227.59717,113.55851,706.22144,1332.8495,653.9867,0.00681807,4.6526775E-4
63,0,8,0,0.0,0.0,0.0,481.50003,343.65143,171.5813,1259.866,1379.6921,685.3071,7.518827E-4,1.3149071E-4
64,0,52,0,0.0,0.0,0.0,587.09607,362.74164,181.2118,820.2808,1303.3942,633.2983,0.0014956514,1.60187E-4
65,1,30,1,0.7305269,879.6864,439.7356,482.25458,248.24844,123.999344,596.95996,1310.8192,636.84406,0.0066174385,2.8065886E-4
66,18,9,8,0.87183446,1006.88605,502.9933,488.11218,371.72888,185.80667,560.49084,1332.1216,652.72076,0.0069025536,0.0013734857
67,4,4,2,0.8635094,1157.9266,578.86145,311.88843,904.08673,449.26086,407.46097,1393.9572,695.65344,0.0068525355,6.415046E-4
68,0,1,0,0.0,0.0,0.0,645.2572,330.78873,165.30046,828.8047,1385.458,689.8992,0.0014960298,2.340607E-4
69,2,12,2,0.92166805,1074.9985,537.2706,313.73215,606.6589,301.59872,441.085,1283.3862,617.7643,0.0066318675,5.1541446E-4
70,8,28,6,0.5579306,1076.2672,538.10315,384.17935,284.60922,142.11761,341.94757,1292.2665,624.0355,0.006899918,9.1034593E-4
71,2,0,0,0.9531555,1119.2495,559.53784,0.0,0.0,0.0,493.95322,1384.5541,689.00635,0.0065677245,4.8638272E-4
72,1,3,0,0.81439114,1386.0602,693.00183,562.9514,577.7971,285.0381,235.5158,1382.0338,687.5117,0.006468473,7.9963426E-4
73,1,77,0,1.082571,1007.0,503.5,317.52512,240.13304,119.99726,496.21024,1168.5577,538.261,0.0062086736,3.0929007E-4
74,7,20,1,0.78042835,1051.8291,525.8491,419.09406,169.34248,84.501,323.03223,1344.2311,661.11304,0.0067870724,9.34534E-4
75,19,9,5,0.83582336,1054.4528,526.83124,412.9213,409.98993,204.33691,274.81754,1336.5669,655.5375,0.006897836,0.0017335145
76,0,78,0,0.0,0.0,0.0,497.65265,178.84364,88.990425,399.3713,1290.5034,620.1412,8.89993E-4,2.0566648E-4
77,1,52,0,0.96213627,1089.8975,544.9028,414.84225,339.72156,169.79747,511.7784,1213.6411,571.0724,0.006582987,2.902746E-4
78,11,7,2,0.7725602,1234.429,617.177,583.9509,411.74063,205.28079,284.66464,1358.6609,671.2177,0.0068192827,0.0011914455
79,5,47,3,0.75489485,1137.9827,568.9725,414.97626,409.3968,203.75702,419.541,1251.917,596.89594,0.0066337227,5.689135E-4
80,9,6,2,0.86361814,1188.794,594.3112,551.54517,501.2444,250.42151,157.17212,1370.162,678.5305,0.0068303905,0.0013369997
81,4,0,0,0.7429049,1357.6233,678.718,0.0,0.0,0.0,222.10437,1375.8975,682.82983,0.006660929,8.999927E-4
82,5,1,0,0.7983347,1127.2981,563.57434,489.73154,178.81894,89.32719,313.5824,1381.429,686.75024,0.006836243,9.0658193E-4
83,14,4,3,0.8520988,1004.58997,502.0618,480.20886,261.73676,130.70737,208.46332,1339.7131,657.4667,0.0068462854,0.0015345258
84,0,25,0,0.0,0.0,0.0,366.87695,263.64282,131.57744,299.6088,1119.7096,504.9624,0.0023412914,4.0961907E-4
85,3,1,0,0.80983573,907.4777,453.36157,423.4222,222.65381,111.21373,228.11745,1247.3169,590.759,0.0067089545,8.217259E-4
86,0,8,0,0.0,0.0,0.0,267.7567,101.41233,50.439087,271.6501,959.3018,394.90994,0.0020384747,4.7350512E-4
87,4,2,1,0.60490084,1111.0269,549.44324,388.77695,346.9737,173.4744,255.60403,1284.084,616.77954,0.006819543,8.154636E-4
88,3,6,0,0.8732176,1268.0,634.0,508.51932,348.77808,174.3656,248.09967,1381.2568,686.7487,0.006698124,8.586776E-4
89,0,18,0,0.0,0.0,0.0,276.23404,87.50937,43.59868,311.08548,908.98676,363.46356,0.0017538167,3.4421272E-4
90,5,49,1,0.9097649,1175.3958,587.6093,363.82697,267.9716,133.78156,341.4466,1171.6707,541.3049,0.006592493,7.069802E-4
91,2,22,1,0.48878956,1015.1345,507.26886,360.03818,237.84804,118.79434,272.1972,1103.7313,496.86163,0.0068337102,5.7832064E-4
92,5,10,2,0.85631716,1095.7898,546.23047,291.88556,219.65254,106.94863,331.71033,839.8628,314.60617,0.0068220235,6.15589E-4
93,18,3,7,0.8799856,1158.503,579.1853,390.28824,403.19177,201.3481,476.4744,1366.8392,677.0914,0.0067522163,0.0015607637
94,8,3,1,0.92136025,1105.8789,551.1147,513.16693,114.11137,56.847565,160.2329,1236.5298,586.29736,0.006666444,0.0019612475
95,0,56,0,0.0,0.0,0.0,662.7542,277.4262,138.56409,251.67021,1338.298,656.42224,0.0013433469,3.6061835E-4
96,0,29,0,0.0,0.0,0.0,549.7969,173.02406,86.42982,151.00914,1278.3099,616.2612,0.002274786,7.1599503E-4
97,28,0,10,0.9694747,1202.0957,600.962,0.0,0.0,0.0,184.77144,1376.7034,683.9301,0.006851443,0.0024389804
98,10,3,3,0.6887684,1182.3226,591.01965,498.82312,365.3857,182.60834,180.06506,1301.2705,632.168,0.0068057403,0.0012658276
99,1,35,0,0.9849901,859.88135,427.57385,442.69614,101.58187,50.54702,196.74136,1260.6892,603.0695,0.0064313863,7.5595896E-4
100,50,2,13,0.83570397,908.1005,453.57022,343.00488,284.68927,142.0563,346.68008,1007.367,428.5077,0.0069117662,0.003518165
