Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,33,0,0.0,0.0,0.0,406.96146,74.267586,37.006878,1536.181,1384.2795,688.65283,2.282435E-4,1.09884895E-4
2,0,22,0,0.0,0.0,0.0,457.391,221.88956,110.85554,1659.3099,1397.8353,698.5146,2.0496569E-4,8.7821965E-5
3,0,12,0,0.0,0.0,0.0,553.6203,459.1256,229.24889,1484.563,1373.4427,680.98755,6.094413E-4,9.255594E-5
4,0,26,0,0.0,0.0,0.0,580.681,404.54617,201.97073,1249.7169,1354.3945,668.5051,5.4823625E-4,1.2032435E-4
5,0,14,0,0.0,0.0,0.0,541.5842,284.4622,141.85876,1490.888,1390.7722,693.3334,2.936885E-4,8.794824E-5
6,0,12,0,0.0,0.0,0.0,590.7489,285.83273,142.81917,1791.0266,1389.5659,692.5831,1.5766661E-4,7.159964E-5
7,0,13,0,0.0,0.0,0.0,589.5358,293.04117,146.44943,1478.0582,1388.0635,691.5501,3.6173812E-4,9.048292E-5
8,0,21,0,0.0,0.0,0.0,387.38885,89.43393,44.268078,1473.7404,1377.8534,684.3324,3.121678E-4,1.0099977E-4
9,0,14,0,0.0,0.0,0.0,531.0982,258.17368,128.97487,1472.4419,1393.6473,695.5715,0.0010360628,1.0604307E-4
10,0,18,0,0.0,0.0,0.0,563.6073,376.3103,188.06326,1461.9989,1386.408,690.3931,2.2918978E-4,9.208399E-5
11,0,25,0,0.0,0.0,0.0,528.98755,206.5824,103.19566,1441.8413,1387.0223,690.9768,3.603591E-4,1.01162324E-4
12,0,6,0,0.0,0.0,0.0,618.1999,362.1342,180.8764,1604.4867,1383.9943,688.7666,2.7084572E-4,8.040684E-5
13,0,19,0,0.0,0.0,0.0,507.9265,227.23466,113.04235,1464.7783,1385.4666,689.68256,8.8503835E-4,1.0652616E-4
14,0,19,0,0.0,0.0,0.0,508.2993,226.95657,113.41998,1407.9106,1387.074,691.0272,2.8903745E-4,1.0087344E-4
15,0,30,0,0.0,0.0,0.0,456.1237,161.1537,80.543976,1343.175,1384.244,688.9808,2.748711E-4,1.1388124E-4
16,0,22,0,0.0,0.0,0.0,514.31647,210.39058,105.09768,1324.2659,1382.509,687.39355,3.7157664E-4,1.0877606E-4
17,0,30,0,0.0,0.0,0.0,593.88226,348.25345,174.03,1237.5078,1379.6581,685.86285,0.0012225745,1.3255783E-4
18,1,21,0,1.056303,881.9858,439.5114,435.5353,215.24329,107.374084,1290.984,1367.8448,678.10614,0.006494524,1.7292605E-4
19,0,15,0,0.0,0.0,0.0,462.5941,390.38925,194.89142,1507.1605,1397.5657,698.1985,6.6176325E-4,1.07552296E-4
20,0,21,0,0.0,0.0,0.0,526.79266,336.4175,168.00378,1465.1868,1380.6372,686.7155,7.149581E-4,1.0117136E-4
21,0,10,0,0.0,0.0,0.0,464.5434,477.77237,238.42233,1631.9683,1391.5446,694.01025,5.0495507E-4,8.583065E-5
22,0,21,0,0.0,0.0,0.0,560.58984,248.97029,124.41619,1409.4008,1370.1838,678.8438,2.4159528E-4,1.0189935E-4
23,0,27,0,0.0,0.0,0.0,436.70316,263.45398,131.62721,1220.0762,1362.3451,673.85315,4.5512232E-4,1.2956676E-4
24,1,27,1,0.806901,1374.0,687.0,451.4761,306.5491,153.15282,1239.0358,1382.958,687.569,0.0065565165,1.873596E-4
25,0,23,0,0.0,0.0,0.0,471.5369,276.90305,138.3847,1321.0549,1321.5569,646.83813,4.0579904E-4,1.1210808E-4
26,0,38,0,0.0,0.0,0.0,286.26147,139.52547,69.637085,1168.2109,1381.6874,687.12775,4.2187888E-4,1.6479734E-4
27,0,30,0,0.0,0.0,0.0,506.996,311.43094,155.60626,1254.347,1376.7074,683.2423,7.231101E-4,1.319449E-4
