Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,38,0,0.0,0.0,0.0,274.79947,92.487625,46.19452,1436.1628,1374.3042,682.9926,2.9858458E-4,1.442683E-4
2,0,25,0,0.0,0.0,0.0,493.15344,208.12921,103.7842,1478.7494,1366.4371,676.8051,2.4225838E-4,1.0134605E-4
3,0,11,0,0.0,0.0,0.0,523.55176,279.33054,139.29263,1370.8962,1371.5205,680.53253,1.7939223E-4,9.113128E-5
4,0,7,0,0.0,0.0,0.0,471.90646,173.10576,86.53915,1479.5344,1380.4731,685.9895,4.5863978E-4,8.484801E-5
5,0,21,0,0.0,0.0,0.0,512.6189,264.73203,132.18741,1511.0924,1388.008,691.60474,2.6045422E-4,9.536095E-5
6,0,16,0,0.0,0.0,0.0,359.581,175.77101,87.80464,1559.6812,1395.0007,696.4001,2.1898025E-4,9.080396E-5
7,0,23,0,0.0,0.0,0.0,543.50385,261.56534,130.61562,1407.8464,1376.5634,683.62683,2.591646E-4,1.0260174E-4
8,0,20,0,0.0,0.0,0.0,455.60156,122.589554,60.95263,1535.2253,1371.6564,680.29816,2.277652E-4,9.3806266E-5
9,0,33,0,0.0,0.0,0.0,343.46915,190.17917,94.98776,1414.7826,1359.3818,671.51074,5.788324E-4,1.3001003E-4
10,0,19,0,0.0,0.0,0.0,414.51443,179.66736,89.740845,1579.1403,1391.3032,693.8698,2.439548E-4,9.238744E-5
11,0,13,0,0.0,0.0,0.0,490.73523,294.07404,146.92154,1492.5569,1382.2849,687.53784,2.2233624E-4,8.679521E-5
12,0,49,0,0.0,0.0,0.0,283.3678,107.59415,53.736675,1377.3145,1392.0818,694.33844,3.6163037E-4,1.653033E-4
13,0,15,0,0.0,0.0,0.0,596.2012,384.58023,192.15514,1515.9382,1393.1991,695.1711,0.0045949845,1.5436877E-4
14,0,14,0,0.0,0.0,0.0,573.8959,271.29684,134.48808,1549.1268,1341.3035,659.094,2.0410336E-4,8.541686E-5
15,0,27,0,0.0,0.0,0.0,596.62067,298.84525,149.19011,1427.7732,1373.0842,680.9875,2.7704396E-4,1.0276167E-4
16,0,32,0,0.0,0.0,0.0,506.15048,230.4541,115.08972,1307.7242,1372.7163,680.6444,3.096995E-4,1.1848742E-4
17,0,2,0,0.0,0.0,0.0,570.41614,260.5,130.25,1616.8936,1390.7416,693.4127,3.236997E-4,7.295251E-5
18,0,27,0,0.0,0.0,0.0,313.66635,146.51231,73.114235,1451.6003,1369.8102,679.3822,2.7401446E-4,1.2074666E-4
19,0,14,0,0.0,0.0,0.0,442.72476,474.2205,236.74515,1474.7899,1391.0527,693.7529,3.538928E-4,9.6020995E-5
20,0,32,0,0.0,0.0,0.0,443.24878,180.4413,89.74236,1282.6664,1391.9779,694.10205,6.0197205E-4,1.242915E-4
21,0,23,0,0.0,0.0,0.0,540.62354,405.21973,202.45975,1319.8889,1379.4751,685.8837,3.401383E-4,1.1290986E-4
22,1,42,0,1.1112137,761.93384,380.50226,308.45093,128.57869,64.20036,1332.1136,1360.1785,672.80145,0.006310509,2.1576445E-4
23,0,24,0,0.0,0.0,0.0,435.2454,190.51575,95.0745,1327.3383,1368.666,678.47845,4.8619104E-4,1.1222329E-4
24,0,24,0,0.0,0.0,0.0,425.297,169.22499,84.48339,1513.0238,1376.5005,683.3724,2.2322411E-4,9.839546E-5
25,0,35,0,0.0,0.0,0.0,444.0298,122.88985,61.34922,1468.5564,1387.1732,690.7466,2.3592141E-4,1.11390225E-4
26,0,8,0,0.0,0.0,0.0,448.1806,334.03253,162.42506,1443.7136,1375.6364,682.3631,7.7722716E-4,1.0577802E-4
27,1,13,1,1.0331345,1038.7396,519.25305,568.99585,360.62958,180.14674,1175.9224,1343.4061,660.1347,0.0064133583,1.7630814E-4
28,0,39,0,0.0,0.0,0.0,313.64832,170.84671,85.3372,1072.272,1304.2844,631.8968,3.277259E-4,1.7366042E-4
29,0,15,0,0.0,0.0,0.0,517.9372,458.63055,229.18845,1043.5356,1334.1299,653.68536,3.8258958E-4,1.4527394E-4
30,0,13,0,0.0,0.0,0.0,490.73492,218.41344,109.06947,1206.2368,1262.9309,602.08826,3.3002463E-4,1.138489E-4
31,0,11,0,0.0,0.0,0.0,546.3435,339.50012,169.3976,1356.0856,1347.4877,662.34106,3.280241E-4,1.036125E-4
32,0,22,0,0.0,0.0,0.0,405.6135,326.91617,163.38261,1138.488,1357.2134,669.62506,0.005105212,2.257747E-4
33,0,16,0,0.0,0.0,0.0,509.7227,266.1365,132.8135,1035.8162,1164.7203,532.0256,2.6655794E-4,1.3061863E-4
34,0,5,0,0.0,0.0,0.0,419.20044,187.50444,93.66742,901.6795,1258.6583,600.66907,0.0010372269,1.5668986E-4
35,0,11,0,0.0,0.0,0.0,607.0907,494.53583,245.70761,894.5487,1339.9374,656.8495,6.801132E-4,1.5279184E-4
36,0,8,0,0.0,0.0,0.0,347.6272,251.41116,125.13165,1010.89606,1220.0973,572.0291,5.8016373E-4,1.4358424E-4
37,1,23,0,1.2129917,1040.5469,515.77094,579.826,278.21924,138.85574,828.38947,1312.9344,638.01324,0.0062151956,2.7926825E-4
38,1,42,0,1.1193733,855.4355,427.54984,330.35474,235.45398,117.67463,603.0986,1278.7183,613.7851,0.0064933244,3.2326978E-4
39,0,18,0,0.0,0.0,0.0,518.1041,213.82217,106.69769,752.6057,1115.2377,493.23343,3.396924E-4,1.4980322E-4
40,0,23,0,0.0,0.0,0.0,460.39658,300.03293,149.69086,671.01245,1135.5106,512.2176,4.5577812E-4,1.8339817E-4
41,0,20,0,0.0,0.0,0.0,447.736,215.23872,107.074425,723.09393,1201.0128,557.254,0.0013630476,1.8835822E-4
42,0,5,0,0.0,0.0,0.0,482.88525,396.03198,197.71721,1045.206,1292.104,623.1589,2.9069118E-4,1.2733488E-4
43,0,2,0,0.0,0.0,0.0,588.22766,407.76376,203.1926,724.1622,1303.814,630.6493,3.475594E-4,1.7120568E-4
44,3,38,1,0.8111572,1145.6044,572.6723,461.80835,345.34882,172.64961,603.80524,1276.0186,611.6209,0.0067045223,4.0590976E-4
45,0,48,0,0.0,0.0,0.0,594.7208,333.8483,166.8821,919.24805,1289.8856,621.869,5.3658284E-4,1.4190892E-4
46,0,16,0,0.0,0.0,0.0,525.0969,186.83437,93.385056,902.9531,1240.7703,586.7161,5.5428693E-4,1.4242005E-4
47,2,21,1,0.6401119,1128.8291,564.3583,639.9251,308.331,154.05797,753.61383,1337.8008,655.55084,0.0067691775,3.3445828E-4
48,0,25,0,0.0,0.0,0.0,424.8531,126.116165,62.684986,806.7223,1172.437,539.42944,3.2734868E-4,1.604872E-4
49,0,5,0,0.0,0.0,0.0,553.3885,343.50006,171.05775,961.89844,1294.667,626.3559,3.483191E-4,1.517705E-4
50,2,28,1,1.0826092,991.0,495.5,452.72696,294.3804,147.14375,673.71295,1334.748,653.76044,0.0065504145,3.2943222E-4
51,0,16,0,0.0,0.0,0.0,385.2596,96.83205,47.849564,789.4084,1249.9697,592.5373,0.0012498964,1.8000239E-4
52,2,6,0,0.8345027,913.10864,456.4164,521.2382,237.9446,118.33323,722.5129,1229.5657,579.14075,0.0066645737,3.52653E-4
53,0,8,0,0.0,0.0,0.0,632.9037,360.6225,179.16408,1032.4474,1296.2002,627.30756,3.194005E-4,1.380729E-4
54,2,17,0,0.6134081,835.3099,417.57794,420.8754,341.6374,170.46591,632.15924,1331.2745,651.2459,0.0066716857,4.0430593E-4
55,1,12,0,1.099865,1014.0,507.0,484.0923,297.86084,148.82733,457.92758,1365.5753,675.59845,0.006482191,3.2777915E-4
56,7,9,1,0.9792399,1002.82623,501.2827,307.78238,429.6344,214.77167,414.08414,1378.0896,684.3464,0.0067327614,7.07906E-4
57,0,17,0,0.0,0.0,0.0,562.3263,313.586,156.70517,534.05634,1160.4751,527.2127,9.639213E-4,2.7081455E-4
58,0,6,0,0.0,0.0,0.0,392.00308,536.1515,267.91568,667.76843,1351.3962,665.6305,4.437906E-4,1.868746E-4
59,2,19,0,1.0311613,1050.7201,524.666,522.85693,334.87674,167.3321,464.80423,1305.9349,632.6039,0.0065546636,5.2756467E-4
