Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,21,0,0.0,0.0,0.0,510.26694,238.42813,119.0138,1585.1342,1391.9633,694.1353,7.801796E-4,9.634458E-5
2,0,14,0,0.0,0.0,0.0,579.1159,243.40921,121.61051,1342.4504,1394.3749,695.91003,2.746393E-4,9.722206E-5
3,0,40,0,0.0,0.0,0.0,338.77066,171.71799,85.7724,1434.7205,1387.2478,691.4403,8.0261513E-4,1.3960902E-4
4,1,13,0,1.181118,867.66956,433.72415,429.69858,253.5268,126.67674,1526.6265,1399.4199,699.53235,0.006413829,1.6417596E-4
5,0,9,0,0.0,0.0,0.0,631.8124,380.1178,189.81123,1329.1714,1388.0834,691.4275,0.0022979954,1.5960966E-4
6,5,22,3,0.80365884,1105.2172,552.56177,447.56784,224.22704,112.01319,901.19305,1380.5625,685.70776,0.0068136123,6.328561E-4
7,8,13,3,0.9627899,962.76624,481.24976,427.50143,571.7276,285.6948,626.8022,1388.5839,691.913,0.0068915896,7.304917E-4
8,0,3,0,0.0,0.0,0.0,517.9769,379.4153,189.44225,693.15405,1392.5598,694.8121,9.792725E-4,1.9229986E-4
9,13,19,2,0.91712576,748.12335,373.91205,365.8097,504.41968,252.02089,771.67773,1395.597,696.5532,0.0068861204,9.866762E-4
10,3,18,1,1.0882314,926.5433,462.99698,305.49634,482.75385,241.1181,382.67584,1371.8951,680.5011,0.006609718,5.3833675E-4
11,0,10,0,0.0,0.0,0.0,348.90436,405.65427,202.64897,567.6215,1398.808,699.0456,8.8065E-4,2.0372559E-4
12,6,11,0,0.77373475,975.0661,487.49854,516.5476,346.6506,173.21141,550.86066,1399.4508,699.5441,0.0068509174,5.776893E-4
13,11,23,4,0.88044,995.4316,497.65216,519.2095,501.6747,250.75742,453.05203,1393.3722,695.283,0.0068313596,9.807865E-4
14,7,12,2,0.8790135,1151.509,575.6583,599.23566,427.07883,213.23029,333.25803,1397.221,698.0434,0.006817114,7.71866E-4
15,4,3,0,0.7485781,1161.3965,580.6571,391.79758,695.749,347.65036,452.048,1375.6187,682.64703,0.006768079,6.021617E-4
16,1,32,0,0.9162159,1035.0,517.5,487.9152,437.19833,218.58076,525.01,1398.7224,699.1004,0.0065118694,2.6985785E-4
17,6,11,1,0.70955104,1128.5392,564.22955,512.12085,675.9182,337.8391,478.08524,1393.5616,695.125,0.006787861,6.429431E-4
18,5,32,1,0.98939687,861.03436,430.03354,363.97818,275.4234,137.59789,384.365,1387.1711,690.6126,0.0065824604,5.814919E-4
19,3,25,0,0.7908309,1078.0059,538.89667,528.9335,346.16187,173.01616,494.1875,1367.7972,678.4741,0.006654116,4.5151848E-4
20,4,33,2,0.908556,793.64276,396.109,353.88068,273.0627,136.40938,365.1968,1379.9656,685.7163,0.0068325307,6.3629827E-4
21,23,23,8,0.7434903,930.2461,464.90372,309.77692,239.05528,119.33311,325.90015,1387.7693,691.086,0.0068535353,0.0018451526
22,16,11,4,0.9799139,985.7219,492.74637,303.97864,367.40646,183.25946,494.80603,1291.6508,625.9421,0.006774244,0.0012464769
23,13,4,3,0.89808613,868.1829,434.01324,342.83066,309.38748,154.49818,297.98145,1357.3164,670.1663,0.0067974823,0.0012407756
24,6,2,2,0.8342018,1087.0428,543.48254,360.34106,403.3962,201.6517,494.44846,1398.7285,698.99536,0.0068485555,6.546119E-4
25,10,9,0,0.8421315,907.984,453.79388,310.92856,489.36475,244.11638,324.69507,1397.5005,698.1297,0.006920294,0.0010126729
26,3,9,0,1.0885996,1302.3334,651.1667,249.81853,679.4235,339.21512,547.973,1380.6438,686.1762,0.0065163355,4.4755026E-4
27,2,2,0,0.94878817,1118.3833,559.1469,431.44305,470.5,235.25,532.2412,1399.2407,699.3829,0.0065806694,4.851072E-4
28,3,6,0,0.89198685,1087.1958,543.5575,432.22018,557.96857,278.54758,361.92673,1381.1436,686.70764,0.0066340296,5.4675975E-4
29,6,19,1,0.74193734,916.6353,458.16245,318.08017,346.03506,172.89017,418.60864,1384.9581,689.0429,0.0068722866,7.284219E-4
30,13,8,4,0.7915129,901.561,450.67856,299.4584,554.2063,276.91705,318.59927,1389.8853,692.7397,0.0068657044,0.0012263149
31,2,4,1,1.1593189,1324.4487,662.2014,444.4854,707.28705,353.46472,345.5064,1398.6653,698.9157,0.00642743,6.10786E-4
32,7,7,2,0.8309905,929.8571,464.92856,309.57855,693.1738,346.14078,310.71844,1312.6399,638.8166,0.0068735466,0.0010980417
33,2,1,0,0.8023691,1232.7887,616.3334,590.4731,233.72336,116.37074,300.29642,1345.0789,661.45294,0.006541941,5.342243E-4
34,22,17,7,0.8335195,856.7841,428.08203,243.54248,523.7924,260.6748,474.78113,1271.7103,612.06647,0.0069142254,0.0016487533
35,3,2,0,1.104489,1090.3173,545.0058,352.55518,594.43823,295.01862,313.4348,1345.4263,661.44586,0.0065083215,6.4812397E-4
36,6,25,0,0.9123934,860.7485,429.7908,384.99814,204.34195,101.916885,235.34962,1327.7269,649.36206,0.0067088674,9.3961763E-4
37,8,5,4,0.7651799,964.9197,482.3666,480.4249,207.53569,103.6937,228.38614,1337.709,655.1738,0.0068267165,0.0011572349
38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,430.1568,1387.8875,691.62286,5.719036E-4,2.8921003E-4
39,37,5,19,0.8779541,1019.91724,509.00766,385.77963,452.3194,226.10489,259.9289,1337.1676,656.64575,0.0069210296,0.0030532116
40,0,1,0,0.0,0.0,0.0,588.95416,270.0,135.0,242.25716,1363.877,674.2931,0.0022997404,5.051674E-4
41,7,0,0,0.7638479,1057.4286,528.6777,0.0,0.0,0.0,393.03992,1395.3235,696.8014,0.0068504973,7.457515E-4
42,8,2,2,0.80648744,1114.1774,557.0474,481.1947,204.5,102.25,268.66724,1335.5309,655.0982,0.006777664,9.882797E-4
43,12,1,3,0.80104923,1259.4646,629.62366,339.9109,1354.0226,676.76434,266.1153,1364.4563,675.1805,0.006829421,0.0013527864
44,9,11,2,0.91095185,818.6625,409.11066,360.11282,399.52805,196.07768,470.73178,1360.8616,671.91064,0.0067341384,7.9406716E-4
45,22,26,9,0.86783445,818.6209,409.0968,361.15906,312.88757,156.33307,431.79352,1375.7383,682.2754,0.006771315,0.0016925667
46,1,1,0,0.67181015,1390.0487,694.7896,284.6351,642.0239,320.7912,218.4262,1395.6045,696.8361,0.006662554,9.195113E-4
47,5,1,1,0.8399124,1133.0574,566.2976,522.13165,338.7798,169.118,269.09756,1387.3457,690.8713,0.006829135,7.151342E-4
48,14,30,2,0.9213297,763.75775,381.7292,370.23904,228.32295,113.95431,285.847,1337.9144,655.2758,0.006754925,0.0012899226
49,6,21,0,0.7595544,854.5595,427.0422,356.3858,293.5272,146.5324,423.7222,1383.247,687.49884,0.0068623954,7.109046E-4
50,18,3,7,0.84041774,957.25793,477.9728,415.15964,171.43361,85.47266,273.14023,1365.1781,675.4871,0.006867995,0.0015949623
51,40,10,14,0.8817407,978.8153,489.15582,144.77579,1050.2036,524.4452,334.60083,1367.4832,676.7957,0.006867659,0.0029005155
52,6,2,1,0.9201687,1192.0247,595.696,231.13757,688.3669,343.95663,320.1998,1388.3732,691.7603,0.006749381,8.1523135E-4
53,3,18,1,1.0573708,1058.2235,528.995,525.7438,410.77777,205.38889,421.84152,1393.112,694.7978,0.006442182,4.2101965E-4
54,20,2,8,0.9324626,1130.737,565.3429,365.07477,643.5,321.75,341.5037,1389.7711,692.7143,0.0067470707,0.0016374977
55,24,7,11,0.7836301,973.618,486.6416,230.65964,546.07684,266.62726,431.5952,1391.6136,694.12225,0.0068530496,0.0017831279
56,13,18,4,0.7952964,1075.7814,537.8332,358.58612,888.7999,443.38284,294.16882,1376.4229,683.13525,0.0068403017,0.0012005643
57,6,55,2,1.1767864,922.14825,458.67093,342.84967,269.78174,134.69405,372.8095,1352.8434,665.3629,0.006435292,6.776114E-4
58,26,12,7,0.8456981,876.3635,436.65393,297.63678,925.30743,461.9846,293.47946,1321.883,644.00226,0.0067990534,0.0020982798
59,6,2,1,0.87734985,1340.5409,670.21356,270.46774,653.2291,325.46814,339.16275,1390.3406,693.3826,0.0067150216,8.0618315E-4
60,11,8,3,0.77726895,914.00446,456.97025,204.81238,464.50226,232.17242,347.10043,1395.302,696.4133,0.006787472,0.0010387653
61,20,10,11,0.857289,890.4813,445.00824,276.1414,516.0062,257.3606,396.01035,1390.2454,693.39795,0.0068233255,0.0015716027
62,41,20,11,0.86883515,883.7295,438.4983,314.902,229.58296,114.75879,204.72076,1327.6567,648.8024,0.006838149,0.0030463273
