Generation,num_target,num_obs,num_robotstop,dist2obj_target,dist_target,ener_target,dist2obj_obs,dist_obs,ener_obs,dist2obj_null,dist_null,ener_null,best_loss,global_loss
1,0,30,0,0.0,0.0,0.0,385.3663,169.76434,84.846565,1528.0924,1391.4636,693.61066,3.1212656E-4,1.089043E-4
2,0,53,0,0.0,0.0,0.0,293.93127,101.5368,50.5926,1467.7899,1391.8574,694.3304,2.6100667E-4,1.6390825E-4
3,0,10,0,0.0,0.0,0.0,529.1683,389.3569,194.38757,1641.1644,1394.1437,695.88086,5.053907E-4,8.132043E-5
4,0,37,0,0.0,0.0,0.0,438.21103,116.9494,58.27964,1412.2869,1380.6578,686.2689,2.0153445E-4,1.1671329E-4
5,0,41,0,0.0,0.0,0.0,452.57047,130.181,64.87053,1441.5887,1373.1521,680.96643,2.0002387E-4,1.1881601E-4
6,0,10,0,0.0,0.0,0.0,360.41766,251.79915,125.823326,1587.505,1378.849,684.93506,3.693706E-4,8.4527564E-5
7,0,17,0,0.0,0.0,0.0,547.49,352.7809,176.35779,1482.1484,1377.6514,684.5891,3.0557095E-4,9.532724E-5
8,0,17,0,0.0,0.0,0.0,512.9854,322.80804,161.28853,1421.1515,1370.0964,679.62646,0.0011279354,1.1189987E-4
9,1,21,1,1.0964336,836.4471,408.56708,373.778,237.56956,118.66102,1391.7952,1383.5784,688.2865,0.0065013375,1.7741304E-4
10,0,12,0,0.0,0.0,0.0,497.03345,231.49994,115.67576,1401.9329,1384.2524,688.6342,2.7163542E-4,9.391107E-5
11,0,18,0,0.0,0.0,0.0,571.54376,303.59467,151.65973,1286.7628,1377.2482,683.7186,3.592455E-4,1.1429817E-4
12,0,12,0,0.0,0.0,0.0,562.53455,402.37405,201.12694,1557.5149,1382.8824,688.3027,5.708676E-4,9.404575E-5
13,0,39,0,0.0,0.0,0.0,412.11743,83.50494,41.61472,1571.8071,1388.5276,691.6076,2.0082669E-4,1.1557629E-4
14,0,11,0,0.0,0.0,0.0,500.69568,611.7598,304.45462,1534.4628,1386.8749,690.8806,3.868355E-4,9.1939575E-5
15,0,22,0,0.0,0.0,0.0,491.6626,259.34158,129.50627,1278.3462,1382.2175,687.3179,3.703086E-4,1.1449098E-4
16,0,19,0,0.0,0.0,0.0,485.09637,259.83884,129.8316,1434.9404,1377.5029,683.73676,3.9205776E-4,1.0089299E-4
17,0,41,0,0.0,0.0,0.0,365.93695,203.993,101.88846,1367.7388,1371.4573,679.85046,2.3297804E-4,1.350671E-4
18,0,11,0,0.0,0.0,0.0,383.2998,161.27492,80.58868,1548.4683,1373.221,680.78076,2.2708067E-4,8.697413E-5
19,0,24,0,0.0,0.0,0.0,464.32642,175.00035,87.45644,1475.8182,1378.6862,685.2019,2.7073003E-4,1.0189049E-4
20,0,10,0,0.0,0.0,0.0,460.34024,161.94608,80.87172,1519.2853,1382.608,687.5403,0.0010328789,9.621591E-5
21,0,22,0,0.0,0.0,0.0,522.26733,291.69357,145.76059,1575.3806,1379.0471,685.0116,2.7062325E-4,9.559833E-5
22,2,11,0,0.72792864,788.4862,384.87122,420.49246,174.78578,87.350716,1303.7706,1374.7269,682.4124,0.006885442,2.4215449E-4
23,0,15,0,0.0,0.0,0.0,562.04663,228.6534,114.22646,1377.654,1359.2157,671.4459,6.094745E-4,1.0433252E-4
24,0,27,0,0.0,0.0,0.0,359.00046,140.32251,70.05295,1515.8785,1382.8959,687.68115,4.4100086E-4,1.1200185E-4
25,0,13,0,0.0,0.0,0.0,355.7632,147.62048,73.67828,1373.1938,1347.993,663.5994,2.8887365E-4,1.0615544E-4
26,0,18,0,0.0,0.0,0.0,524.26044,270.18646,134.96281,1384.0223,1361.0089,672.8855,2.7657003E-4,9.810025E-5
27,0,14,0,0.0,0.0,0.0,422.05573,157.93404,78.83041,1408.4275,1353.8899,667.9615,2.893289E-4,1.0017785E-4
28,0,16,0,0.0,0.0,0.0,344.5154,189.13678,94.46224,1342.4497,1356.1227,669.6177,6.391849E-4,1.1828468E-4
29,0,56,0,0.0,0.0,0.0,395.6375,73.65011,36.740936,1478.4849,1375.6632,683.4451,4.0776213E-4,1.438821E-4
30,0,39,0,0.0,0.0,0.0,366.47522,195.24324,97.18324,1352.6976,1368.81,677.733,3.2195164E-4,1.3750231E-4
31,0,59,0,0.0,0.0,0.0,436.70236,90.75394,45.274067,1358.0027,1357.8127,671.03204,6.712365E-4,1.4845845E-4
32,0,37,0,0.0,0.0,0.0,474.32095,207.52348,103.53998,1198.86,1368.1885,678.2153,3.0022734E-4,1.2701907E-4
33,0,15,0,0.0,0.0,0.0,463.81412,246.78654,123.28654,1274.6134,1380.2532,686.04364,5.1070773E-4,1.0829625E-4
34,0,33,0,0.0,0.0,0.0,566.85645,264.36237,132.13321,1150.2913,1346.5695,663.1929,3.9087288E-4,1.2222513E-4
35,0,55,0,0.0,0.0,0.0,446.82733,116.60027,58.204704,998.0251,1292.036,625.2732,2.7798236E-4,1.5443769E-4
36,0,30,0,0.0,0.0,0.0,410.18048,171.27663,85.29177,1425.0978,1350.7489,665.92444,7.27145E-4,1.2549479E-4
37,0,35,0,0.0,0.0,0.0,509.54202,182.63052,91.250824,1184.4299,1302.5192,633.1298,3.159339E-4,1.238288E-4
38,1,14,0,0.40671635,1279.8805,639.884,576.1372,351.47314,175.65862,1317.5867,1365.4456,675.68567,0.0068042623,2.1749586E-4
